,text,caption,timestamp,username,likes_count,link,image_link,hashtags,clean_text
0,"Asalamo 3alaykom nharkom mebrouk وصيام مقبول ان شاء الله  Le fameux dessert italien Tiramisu
j'ai choisis pour vous une version sans oeufs plus légère .

Ingrédients: (pour 6 à 7 verrines)
Biscuit à la cuillère ( biscuit boudoirs)
5 boites de fromage régime 
20cl de crème fraiche épaisse 
6 cas de sucre glace 
1 bol de café fort ( Nescafé pour moi)
2cas de cacao
PS: pour monter la crème fraiche c'est important de mettre les fouets du batteur et le récipient et la crème au frais , la crème montera plus rapidement.
Préparation : 
Verser la crème fraiche dans un saladier bien froid ,monter la crème en chantilly à l'aide d'un batteur , ajouter 3cas de sucre glace  jusqu'à l'obtention d'une crème bien ferme *dans un autre récipient mettez le fromage régime et le battre avec 3 cas de sucre glace et une cuillère à café de vanille,incorporer ce melange  délicatement à la crème chantilly jusqu'à l'obtention d'une crème bien lisse et aérienne .
*tremper successivement la moitié des biscuits dans le café froid puis déposer les bien recouvrer avec une couche de crème et ainsi de suite .
Lisser bien la surface et soupoudrer  une couche de cacao
déguster bien frais .
 وصفة تيراميسو بدون بيض : (هاد الكمية تعمل من 6 الى 7 كؤوس ).
بيسكوي بودواغ ، 5علب جبن طازج ، 20سل كريمة طازجة ثقيلة ، 6ملاعق سكر ناعم ، ملعقة فانيليا ، ملعقتين كاكاو ، كاس كبير قهوة تقيلة انا استعملت نسكافي .
نطلع الكريمة الطازجة على شكل شانتيي في اناء يكون بارد بواسطة الخلاط الكهربائي مع اضافة 3 ملاعق سكر ناعم حتى تصبح كريمة ثقيلة .
في اناء اخر نخفق الجبن الطازج مع 3ملاعق سكر ناعم وملعقة فانيليا ثم نخلط المزيجين حتى نتحصل على كريمة ملساء .
نغمس الجزء العلوي من البسكوي في القهوة ونضع طبقة منه ثم طبقة من الكريمة حتى نكمل 
والتزيين طبقة من الكاكاو .يقدم بارد 
____SAHA FTOURKOM__________
#tiramissu#café#gouter#goutertime#faitmaison#passioncuisine#cuisinemaison#cuisinealgerienne#dzair#ramadan2019#iftar#recettefacile#algeriansweet#dzfood#algerianfood#foodblogers#dzbloger#délice#gourmandise#gourmande#cacao#tropbon#cuisinedumonde
#المطبخ_الجزائري#الطبخ_الجزائري #اكتشف_الجزائر",Image may contain: dessert and food,1557581551,le_coingourmand,4205,https://www.instagram.com/p/BxUvR_bHWVf/,https://scontent-frx5-1.cdninstagram.com/vp/4dbb8e772d25efc76203d0756a475ac9/5D9E0D46/t51.2885-15/e35/57113216_133808957727595_4246373797051826793_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com,"['#tiramissu', '#café', '#gouter', '#goutertime', '#faitmaison', '#passioncuisine', '#cuisinemaison', '#cuisinealgerienne', '#dzair', '#ramadan2019', '#iftar', '#recettefacile', '#algeriansweet', '#dzfood', '#algerianfood', '#foodblogers', '#dzbloger', '#délice', '#gourmandise', '#gourmande', '#cacao', '#tropbon', '#cuisinedumonde', '#المطبخ_الجزائري', '#الطبخ_الجزائري', '#اكتشف_الجزائر']","asalamo 3alaykom nharkom mebrouk wsym mqbwl n sh llh  le fameux dessert italien tiramisu
jai choisis pour vous une version sans oeufs plus legere .

ingredients: (pour 6 a 7 verrines)
biscuit a la cuillere ( biscuit boudoirs)
5 boites de fromage regime 
20cl de creme fraiche epaisse 
6 cas de sucre glace 
1 bol de cafe fort ( nescafe pour moi)
2cas de cacao
ps: pour monter la creme fraiche cest important de mettre les fouets du batteur et le recipient et la creme au frais , la creme montera plus rapidement.
preparation : 
verser la creme fraiche dans un saladier bien froid ,monter la creme en chantilly a laide dun batteur , ajouter 3cas de sucre glace  jusqua lobtention dune creme bien ferme *dans un autre recipient mettez le fromage regime et le battre avec 3 cas de sucre glace et une cuillere a cafe de vanille,incorporer ce melange  delicatement a la creme chantilly jusqua lobtention dune creme bien lisse et aerienne .
*tremper successivement la moitie des biscuits dans le cafe froid puis deposer les bien recouvrer avec une couche de creme et ainsi de suite .
lisser bien la surface et soupoudrer  une couche de cacao
deguster bien frais .
 tyrmysw bdwn byd : (hd t`ml mn 6 l~ 7 kwws ).
byskwy bwdwg , 5`lb jbn tzj , 20sl , 6ml`q skr n`m , fnyly , ml`qtyn kkw , ks kbyr n st`mlt nskfy .
ntl` `l~ shkl shntyy fy n ykwn brd lkhlt lkhrbyy m` 3 ml`q skr n`m ht~ tsbh .
fy n khr nkhfq ljbn ltzj m` 3ml`q skr n`m fnyly thm nkhlt lmzyjyn ht~ nthsl `l~ mls .
ngms ljz l`lwy mn lbskwy fy wnd` mnh thm mn ht~ nkml 
wltzyyn mn lkkw .yqdm brd 
____saha ftourkom__________
"
2,"Petit repas du soir post training steak haché 5% MG, chips de patate douce et poêlée de légumes #healthylifestyle #healthyrecipes #healthymeal #healthyfood #healthy #healthyeating #healthydinner #repashealthy #healthyhabits",Image may contain: food,1557953721,sir_rens,15,https://www.instagram.com/p/Bxf1I7RI7Ey/,https://scontent-frx5-1.cdninstagram.com/vp/0df86fcdeb0c290a035ba9d10b42989d/5D54F7D7/t51.2885-15/e35/60577063_382589492465966_4702791944783509004_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com,"['#healthylifestyle', '#healthyrecipes', '#healthymeal', '#healthyfood', '#healthy', '#healthyeating', '#healthydinner', '#repashealthy', '#healthyhabits']","petit repas du soir post training steak hache 5% mg, chips de patate douce et poelee de legumes "
3,"Salam aleykoum les filles ! 🌷🌷 Une petite recette simple et rapide à tester ces vraiment trop BON 😋. Rouler de pain de mie au jambon (halal) et tranche de cheddar 👌🏼
▶️▶️Mini recette : À l’aide d’un rouleau étaler finement vos tranches de pain de mie sans croûte ⚠️ ou les enlever. Tartiner avec un peu de crème fraîche déposer du jambon avec une tranche de cheddar enrouler.
Battre 2 oeufs tremper les roulé de pain de mie puis les enrober de chapelure.
Cuire dans une poêle avec un peu d’huile. .

Q’Allah accepte notre jeûne 🙏🏼
.

#ramadan #repas #repasdusoir #simple #recetterapide #ramadan2019",Image may contain: food,1557345074,oummi_debordee,1012,https://www.instagram.com/p/BxNsPJUHPzc/,https://scontent-frx5-1.cdninstagram.com/vp/f0f350608cea0d188a1dad17c225ae4a/5D57F0C5/t51.2885-15/e35/p1080x1080/59375039_430422417760034_5145641795559386456_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com,"['#ramadan', '#repas', '#repasdusoir', '#simple', '#recetterapide', '#ramadan2019']","salam aleykoum les filles !  une petite recette simple et rapide a tester ces vraiment trop bon . rouler de pain de mie au jambon (halal) et tranche de cheddar 
>[?]>[?]mini recette : a laide dun rouleau etaler finement vos tranches de pain de mie sans croute [?][?] ou les enlever. tartiner avec un peu de creme fraiche deposer du jambon avec une tranche de cheddar enrouler.
battre 2 oeufs tremper les roule de pain de mie puis les enrober de chapelure.
cuire dans une poele avec un peu dhuile. .

qallah accepte notre jeune 
.

"
4,"Jeudi, pâtes au pesto d’asperges blanches et asperges vertes grillées 🌱
Un pesto d'asperges? Il fallait y penser! La recette est simplissime.
👉🏻 Recette en bio
#delicesbelgique #asperges #aspergeblanche #aspergesvertes #desaison #pestodasperge #recettefacile #recettesimple #recettedujour",Image may contain: food,1557984683,delicesbelgique,18,https://www.instagram.com/p/BxgwMYwi8Fk/,https://scontent-frx5-1.cdninstagram.com/vp/69132712770dcf1a3017ac2ef21b682a/5D53F149/t51.2885-15/e35/59564958_1382591948550123_3229636860880135139_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com,"['#delicesbelgique', '#asperges', '#aspergeblanche', '#aspergesvertes', '#desaison', '#pestodasperge', '#recettefacile', '#recettesimple', '#recettedujour']","jeudi, pates au pesto dasperges blanches et asperges vertes grillees 
un pesto dasperges? il fallait y penser! la recette est simplissime.
 recette en bio
"
6,"Bonjour bonjour la Team Insta, hier soir pas de post, nous avons fait ptit diner pour nos 2 anniversaires celui de mon + jeune fils 12 ans déjà et moi-même 😉 Mon fils avait choisi comme menu raclette hihihi et tarte aux framboises.

J'ai eu un beau cadeau ""velo d'appartement"" Décathlon, quelque soit le temps pas d'excuses pour en faire. ~~~~~~~~~~~~~~~
Petit déj 🍃1 Kusmi Tea aquaExotica (mélange hibiscus et de pomme aromatisé fruits exotiques)
🍃2 tranches de pain nordique seigle & graines de chez Louise
🍃1 yaourt Taillefine 0% à l'ananas ~~~~~~~~~~~~~~~
#mangersainement #mangersain #mangermieux #mangerequilibre #mangersainetbon #mangeréquilibré #reequilibragealimentaire #reequilibragealimentaires #reequilibragealimentaire🍏🍊🍋🍅🍆🍌🍎🍐🍉 #beakfast #petitdejeuner",Image may contain: food,1557995622,didi_2019_stop_les_kilos,18,https://www.instagram.com/p/BxhFDwsCEAt/,https://scontent-frx5-1.cdninstagram.com/vp/275cfe4885571ec4bdee181cda9aab9b/5D6132A6/t51.2885-15/e35/60063575_231130224510283_6421578259780840374_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com,"['#mangersainement', '#mangersain', '#mangermieux', '#mangerequilibre', '#mangersainetbon', '#mangeréquilibré', '#reequilibragealimentaire', '#reequilibragealimentaires', '#reequilibragealimentaire🍏🍊🍋🍅🍆🍌🍎🍐🍉', '#beakfast', '#petitdejeuner']","bonjour bonjour la team insta, hier soir pas de post, nous avons fait ptit diner pour nos 2 anniversaires celui de mon + jeune fils 12 ans deja et moi-meme  mon fils avait choisi comme menu raclette hihihi et tarte aux framboises.

jai eu un beau cadeau ""velo dappartement"" decathlon, quelque soit le temps pas dexcuses pour en faire. ~~~~~~~~~~~~~~~
petit dej 1 kusmi tea aquaexotica (melange hibiscus et de pomme aromatise fruits exotiques)
2 tranches de pain nordique seigle & graines de chez louise
1 yaourt taillefine 0% a lananas ~~~~~~~~~~~~~~~
"
7,"""La gastronomie est la joie de toutes les situations et de tous les âges. Elle donne la beauté de l'esprit. Elle saupoudre d'étincelles d'or l'humide azur de nos prunelles  elle imprime à nos lèvres le ton du corail ardent  elle chasse nos cheveux en arrière  elle fait trembler d'intelligence nos narines. Elle donne la mansuétude et la galanterie."" - Charles Monselet 
#cuisine #chefsplateform #coursdecuisine #coursdecuisineadomicile #recettes #coursdecuisinevegan #coursdecuisinejaponaise #coursdecuisinemarocaine #coursdecuisinethaie #coursdecuisineitalienne #coursdecuisineenfant #cuisinemarocaine #cuisinedumonde #passioncuisine #cuisineasiatique #cuisinesaine #recettesaine #recetteshealthy #recettevegetarienne #recetteasiatique #patisserie",Image may contain: food,1557990064,ca_toque,20,https://www.instagram.com/p/Bxg6dW1AmgH/,https://scontent-frx5-1.cdninstagram.com/vp/fc10389d514fc1996c430043fe0794ca/5D5E36EB/t51.2885-15/e35/59431505_301283787470638_7351970894676524760_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com,"['#cuisine', '#chefsplateform', '#coursdecuisine', '#coursdecuisineadomicile', '#recettes', '#coursdecuisinevegan', '#coursdecuisinejaponaise', '#coursdecuisinemarocaine', '#coursdecuisinethaie', '#coursdecuisineitalienne', '#coursdecuisineenfant', '#cuisinemarocaine', '#cuisinedumonde', '#passioncuisine', '#cuisineasiatique', '#cuisinesaine', '#recettesaine', '#recetteshealthy', '#recettevegetarienne', '#recetteasiatique', '#patisserie']","""la gastronomie est la joie de toutes les situations et de tous les ages. elle donne la beaute de lesprit. elle saupoudre detincelles dor lhumide azur de nos prunelles  elle imprime a nos levres le ton du corail ardent  elle chasse nos cheveux en arriere  elle fait trembler dintelligence nos narines. elle donne la mansuetude et la galanterie."" - charles monselet 
"
8,"🇫🇷 Un petit sandwich de blini, ça vous tente ?
👉🏼 2 blinis @monoprix
👉🏼 150g de mélange @florette_france carottes, radis, salade et chou blanc à mélanger avec 1/2 yaourt nature et un peu de moutarde
👉🏼 1 tranche de saumon fumé
•
7 SP @ww_france
•
🇺🇸 Have you ever tried a blini sandwich ?
👉🏼 2 blinis
👉🏼 salad, carot, raddishes and cabbage mix. Add 1/2 yogurt and a bit of mustard.
👉🏼 1 slice of smoke salmon",Image may contain: food,1557916956,healthywithlucile,745,https://www.instagram.com/p/BxevA9SiPFv/,https://scontent-frx5-1.cdninstagram.com/vp/323fd3e99ec0ee1e6124a79f06d5f2f6/5D65614E/t51.2885-15/e35/s1080x1080/58943364_135748587597784_129522476061920270_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com,"['@monoprix', '@florette_france', '@ww_france']"," un petit sandwich de blini, ca vous tente ?
 2 blinis  150g de melange carottes, radis, salade et chou blanc a melanger avec 1/2 yaourt nature et un peu de moutarde
 1 tranche de saumon fume
*
7 sp *
 have you ever tried a blini sandwich ?
 2 blinis
 salad, carot, raddishes and cabbage mix. add 1/2 yogurt and a bit of mustard.
 1 slice of smoke salmon"
9,"Bonjour et bonne journée... Ce matin, pas de bowlcake, j ai eu une envie de biscottes lol .. ( beurre 41 % et confiture de framboise) .
.
#ww #weightwatchersfrance #ww2 #weightlosshelp #wwfrance #wwliberté #weightwatchers #smartpoints #smartpointsww #smartpointsliberté #stopauxkilos #mangersain #maigrirensemble #mangersainement #mangerequilibre #minciravecplaisir #mincirensemble #maigrir #pertedepoidsextreme #pertedepoids #recetteminceur #regimeuse #reequilibragealimentaire #regimeuseww #regimeusemotivee #regimeavantapres",Image may contain: food,1557997341,pyouneww,25,https://www.instagram.com/p/BxhIVj7ifMr/,https://scontent-frx5-1.cdninstagram.com/vp/9a33a0bcea8b6d392f40c8091b5c06a4/5D6E0566/t51.2885-15/e35/60139363_2403493669688652_117123596798042135_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com,"['#ww', '#weightwatchersfrance', '#ww2', '#weightlosshelp', '#wwfrance', '#wwliberté', '#weightwatchers', '#smartpoints', '#smartpointsww', '#smartpointsliberté', '#stopauxkilos', '#mangersain', '#maigrirensemble', '#mangersainement', '#mangerequilibre', '#minciravecplaisir', '#mincirensemble', '#maigrir', '#pertedepoidsextreme', '#pertedepoids', '#recetteminceur', '#regimeuse', '#reequilibragealimentaire', '#regimeuseww', '#regimeusemotivee', '#regimeavantapres']","bonjour et bonne journee... ce matin, pas de bowlcake, j ai eu une envie de biscottes lol .. ( beurre 41 % et confiture de framboise) .
.
"
10,"Healthy salade 🥗🌿
.
.
Mélange de mâche et roquette, avocat, tomates cerises, tzatziki, fêta et graines de lin 🌱🍅🥑🥒
.
.
#salade #fresh #avocado #salad #salade #saladecomposée #avocat #vegan #vegetales #mangermieux #diner #salade #marche #saladecomposée #healthy #healthyfood #healthycooking #cuisine #cuisinesaine #biendansmonslip #cook #plaisir #gourmandise",Image may contain: food,1556037447,danslacuisinedebernadette,1257,https://www.instagram.com/p/BwmuIviAgcB/,https://scontent-frx5-1.cdninstagram.com/vp/412125479b4731e91662014cd81a1b66/5D7248D2/t51.2885-15/e35/57156450_643415982771576_3137432527718856899_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com,"['#salade', '#fresh', '#avocado', '#salad', '#salade', '#saladecomposée', '#avocat', '#vegan', '#vegetales', '#mangermieux', '#diner', '#salade', '#marche', '#saladecomposée', '#healthy', '#healthyfood', '#healthycooking', '#cuisine', '#cuisinesaine', '#biendansmonslip', '#cook', '#plaisir', '#gourmandise']","healthy salade 
.
.
melange de mache et roquette, avocat, tomates cerises, tzatziki, feta et graines de lin 
.
.
"
11,"Plateau de fromages pour anniversaire de mariage.

#pecorino #poivre #pecorino#piment  #parmesanreggiano #pecorinosardegna #mangerbien #fromages #italien #nantes #nantesrestaurant",Image may contain: food,1557997295,epicerie_moscati,8,https://www.instagram.com/p/BxhIP7nofP0/,https://scontent-frx5-1.cdninstagram.com/vp/5dc8b1bcc47c73dc272024f850c444f0/5D6EE2C9/t51.2885-15/e35/59052113_345084252877919_3504897719845981222_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com,"['#pecorino', '#poivre', '#pecorino', '#piment', '#parmesanreggiano', '#pecorinosardegna', '#mangerbien', '#fromages', '#italien', '#nantes', '#nantesrestaurant']","plateau de fromages pour anniversaire de mariage.

"
