brand,description,image_url,origin,price,price_per_unit,product_id,promo_price,shelter_child,shelter_main,shelter_parent,url
Férial,Plateau brochettes porc Férial Mini chipo merguez - 680g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1411032&use=l&cat=p&typeid=i,,6.99 €,10.28 € / kg,25983,6.99 €,Saucisses et Grillades,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-25983-Plateau-brochettes-porc-Ferial.aspx
Férial,Brochette 3 Boeuf Férial 4 porc - 665g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1413072&use=l&cat=p&typeid=i,,8.25 €,12.41 € / kg,25981,8.25 €,Saucisses et Grillades,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-25981-Brochette-3-Boeuf-Ferial.aspx
,Plateau grill Tendre et Plus Extra tendre - Herbes  x4 -650g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1674766&use=l&cat=p&typeid=i,,8.84 €,13.60 € / kg,104789,8.84 €,Saucisses et Grillades,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-104789-Plateau-grill-Tendre-et-Plus.aspx
,Brochette porc Tendre Et Plus Extra tendre x4 - 320g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1603250&use=l&cat=p&typeid=i,,3.69 €,11.53 € / kg,48468,3.69 €,Saucisses et Grillades,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-48468-Brochette-porc-Tendre-Et-Plus.aspx
,Saucisse Chipolatas Bio x5 - VPF - 275g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1072073&use=l&cat=p&typeid=i,,3.96 €,14.40 € / kg,55810,3.96 €,Saucisses et Grillades,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-55810-Saucisse-Chipolatas-Bio.aspx
Férial,Chipolatas Férial 6x - 55g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1508917&use=l&cat=p&typeid=i,,2.83 €,8.58 € / kg,18218,2.83 €,Saucisses et Grillades,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-18218-Chipolatas-Ferial.aspx
Socopa,Chipolatas superieure Socopa Sous atmosphère x6 - 330g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1598258&use=l&cat=p&typeid=i,,3.10 €,9.39 € / kg,32843,3.10 €,Saucisses et Grillades,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-32843-Chipolatas-superieure-Socopa.aspx
Bigard,Chipolatas label rouge Bigard x6 - 330g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1630566&use=l&cat=p&typeid=i,,3.55 €,10.76 € / kg,20982,3.55 €,Saucisses et Grillades,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-20982-Chipolatas-label-rouge-Bigard.aspx
,Saucisse Tendre Et Plus Aux herbes x6 - 330g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1588797&use=l&cat=p&typeid=i,,2.30 €,6.97 € / kg,46230,2.30 €,Saucisses et Grillades,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-46230-Saucisse-Tendre-Et-Plus.aspx
Bio Village,Saucisses Bio Village De toulouse - x3,https://fd4-photos.leclercdrive.fr/image.ashx?id=1295267&use=l&cat=p&typeid=i,,5.16 €,1.72 € / p,78967,5.16 €,Saucisses et Grillades,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-78967-Saucisses-Bio-Village.aspx
Bigard,Saucisse de Toulouse Bigard Label rouge enroulée - 500g,https://fd4-photos.leclercdrive.fr/image.ashx?id=643716&use=l&cat=p&typeid=i,,5.30 €,10.60 € / kg,29285,5.30 €,Saucisses et Grillades,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-29285-Saucisse-de-Toulouse-Bigard.aspx
Férial,Saucisse de Toulouse Férial 500g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1100149&use=l&cat=p&typeid=i,,3.50 €,7.00 € / kg,20858,3.50 €,Saucisses et Grillades,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-20858-Saucisse-de-Toulouse-Ferial.aspx
,Merguez Bio x5 - 275g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1072076&use=l&cat=p&typeid=i,,4.19 €,15.24 € / kg,55805,4.19 €,Saucisses et Grillades,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-55805-Merguez-Bio.aspx
Férial,Merguez Férial x6 - 330g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1100071&use=l&cat=p&typeid=i,,3.04 €,9.21 € / kg,18219,3.04 €,Saucisses et Grillades,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-18219-Merguez-Ferial.aspx
,Merguez - Boyau naturel Origine France - x20 - 1kg,https://fd4-photos.leclercdrive.fr/image.ashx?id=1426375&use=l&cat=p&typeid=i,,8.60 €,8.60 € / kg,84355,8.60 €,Saucisses et Grillades,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-84355-Merguez---Boyau-naturel.aspx
,Saucisses aux herbes Ferial Avec Chipolata,https://fd4-photos.leclercdrive.fr/image.ashx?id=1056487&use=l&cat=p&typeid=i,,2.82 €,8.55 € / kg,53190,2.82 €,Saucisses et Grillades,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-53190-Saucisses-aux-herbes-Ferial.aspx
,Mini à griller Tendre et Plus Tapas nature x8 - 320g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1611461&use=l&cat=p&typeid=i,,2.99 €,9.34 € / kg,35295,2.99 €,Saucisses et Grillades,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-35295-Mini-a-griller-Tendre-et-Plus.aspx
,Mini à griller Tendre et Plus Tapas mixte x8 320g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1674760&use=l&cat=p&typeid=i,,2.99 €,9.34 € / kg,31219,2.99 €,Saucisses et Grillades,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-31219-Mini-a-griller-Tendre-et-Plus.aspx
,Mini à griller Tendre et Plus Tapas chorizo x8 - 320g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1589290&use=l&cat=p&typeid=i,,3.00 €,9.38 € / kg,31218,3.00 €,Saucisses et Grillades,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-31218-Mini-a-griller-Tendre-et-Plus.aspx
Saint Azay,Chorizo à griller Saint Azay x6 - 300g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1419429&use=l&cat=p&typeid=i,,2.81 €,9.37 € / kg,50763,2.81 €,Saucisses et Grillades,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-50763-Chorizo-a-griller-Saint-Azay.aspx
,Viande bovine 1x entrecôte *** à griller Bio - 170g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1010566&use=l&cat=p&typeid=i,,4.95 €,29.12 € / kg,54133,4.95 €,Viande bovine,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-54133-Viande-bovine-1x-entrecote-.aspx
,Viande bovine Bio Entrecôte *** x2 - 340g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1403433&use=l&cat=p&typeid=i,,10.56 €,31.06 € / kg,77956,10.56 €,Viande bovine,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-77956-Viande-bovine-Bio.aspx
,Viande bovine 2x entrecôte *** à griller - 340g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727561&use=l&cat=p&typeid=i,France,7.96 €,23.41 € / kg,27053,7.96 €,Viande bovine,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-27053-Viande-bovine-2x-entrecote-.aspx
,Viande bovine Charolaise 2x entrecôte *** à griller 360g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727613&use=l&cat=p&typeid=i,France,9.80 €,27.22 € / kg,26246,9.80 €,Viande bovine,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-26246-Viande-bovine-Charolaise.aspx
,Viande bovine 1x entrecôte*** Epaisse à griller - 300g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727593&use=l&cat=p&typeid=i,f'rance,6.99 €,23.30 € / kg,26672,6.99 €,Viande bovine,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-26672-Viande-bovine-1x-entrecote.aspx
,Viande bovine 1x côte *** à griller - 600g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727545&use=l&cat=p&typeid=i,France,13.19 €,21.98 € / kg,27494,13.19 €,Viande bovine,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-27494-Viande-bovine-1x-cote-.aspx
Férial,Bavette Viande bovine Férial  Aloyau ***à griller x2 - 280g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1413075&use=l&cat=p&typeid=i,,5.54 €,19.79 € / kg,16824,5.54 €,Viande bovine,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-16824-Bavette-Viande-bovine-Ferial-.aspx
Charal,Bavette d'Aloyau *** Charal 2x130g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1576869&use=l&cat=p&typeid=i,,6.90 €,26.54 € / kg,41359,6.90 €,Viande bovine,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-41359-Bavette-dAloyau-Charal.aspx
,Viande bovine 2x bavette Aloyau *** à griller - 280g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727577&use=l&cat=p&typeid=i,France,6.64 €,23.71 € / kg,26250,6.64 €,Viande bovine,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-26250-Viande-bovine-2x-bavette.aspx
Charal,Tournedos *** Charal 2x140g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1576830&use=l&cat=p&typeid=i,,11.50 €,41.07 € / kg,41358,11.50 €,Viande bovine,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-41358-Tournedos-Charal.aspx
Férial,Viande bovine Férial tournedos *** à griller 280g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1403478&use=l&cat=p&typeid=i,,8.69 €,31.04 € / kg,16839,8.69 €,Viande bovine,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-16839-Viande-bovine-Ferial.aspx
,Viande bovine 2x pavé *** tournedos à griller - 280g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727625&use=l&cat=p&typeid=i,France,5.66 €,20.21 € / kg,26671,5.66 €,Viande bovine,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-26671-Viande-bovine-2x-pave-.aspx
Bio Village,Viande bovine Fr Bio Village Faux filet - 160g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1167545&use=l&cat=p&typeid=i,,4.46 €,27.88 € / kg,53023,4.46 €,Viande bovine,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-53023-Viande-bovine-Fr-Bio-Village.aspx
,Viande bovine 1x faux filet *** à griller Bio - 160g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1010562&use=l&cat=p&typeid=i,,4.85 €,30.31 € / kg,54134,4.85 €,Viande bovine,Viandes Poissons,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-54134-Viande-bovine-1x-faux-filet-.aspx
